Name,Lv. 1,Lv. 2,Lv. 3,Lv. 4,Lv. 5,Lv. 6,Lv. 7,Lv. 8,Lv. 9,Lv. 10,Lv. 11
1-Hit DMG,38.8%,41.9%,45.1%,49.6%,52.8%,56.4%,61.3%,66.3%,71.3%,76.7%,82.1%
2-Hit DMG,38.0%,41.1%,44.2%,48.6%,51.7%,55.3%,60.1%,65.0%,69.8%,75.1%,80.4%
3-Hit DMG,27.3%+27.3%,29.5%+29.5%,31.7%+31.7%,34.9%+34.9%,37.1%+37.1%,39.6%+39.6%,43.1%+43.1%,46.6%+46.6%,50.1%+50.1%,53.9%+53.9%,57.7%+57.7%
4-Hit DMG,56.9%,61.6%,66.2%,72.8%,77.5%,82.7%,90.0%,97.3%,104.6%,112.5%,120.5%
Plunge DMG,56.8%,61.5%,66.1%,72.7%,77.3%,82.6%,89.9%,97.1%,104.4%,112.3%,120.3%
Low/High Plunge DMG,113.6%/141.9%,122.9%/153.5%,132.1%/165.0%,145.3%/181.5%,154.6%/193.1%,165.2%/206.3%,179.7%/224.5%,194.2%/242.6%,208.8%/260.8%,224.6%/280.6%,240.5%/300.4%
Aimed Shot,43.9%,47.4%,51.0%,56.1%,59.7%,63.7%,69.4%,75.0%,80.6%,86.7%,92.8%
Aimed Shot Charge Level 1,124.0%,133.3%,142.6%,155.0%,164.3%,173.6%,186.0%,198.4%,210.8%,223.2%,235.6%
Prop Arrow DMG,172.8%,185.8%,198.7%,216.0%,229.0%,241.9%,259.2%,276.5%,293.8%,311.0%,328.3%
Grin-Malkin Hat Inherited HP,64%,69%,74%,80%,85%,90%,96%,102%,109%,115%,122%
Pyrotechnic Strike DMG,212.0%,227.9%,243.8%,265.0%,280.9%,296.8%,318.0%,339.2%,360.4%,381.6%,402.8%
Spiritbreath Thorn DMG,27.6%,29.6%,31.7%,34.4%,36.5%,38.6%,41.3%,44.1%,46.8%,49.6%,52.3%
